stations_id,von_datum,bis_datum,Stationshoehe,geoBreite,geoLaenge,Stationsname,Bundesland,Abgabe
151,1947-01-01,2024-12-31,382,49.4691,11.8546,Amberg-Unterammersricht,Bayern,Frei
191,1884-01-01,2024-12-31,217,49.9694,9.9114,Arnstein-Müdesheim,Bayern,Frei
217,1938-01-01,2024-12-31,670,47.8774,11.3643,Attenkam,Bayern,Frei
232,1947-01-01,2024-12-31,462,48.4253,10.9417,Augsburg,Bayern,Frei
282,1881-01-01,2024-12-31,240,49.8743,10.9206,Bamberg,Bayern,Frei
320,1851-01-01,2024-12-31,350,49.9666,11.5198,Heinersreuth-Vollhof,Bayern,Frei
867,1883-01-01,2024-12-31,344,50.3066,10.9679,Lautertal-Oberlauter,Bayern,Frei
1103,1938-01-01,2024-12-31,592,48.1003,11.9872,Ebersberg-Halbing,Bayern,Frei
1107,1948-01-01,2024-12-31,346,49.852,10.4991,Ebrach,Bayern,Frei
1279,1881-01-01,2024-12-31,268,49.6497,11.0075,Möhrendorf-Kleinseebach,Bayern,Frei
1332,1937-01-01,2024-12-31,471,48.4832,12.7241,"Falkenberg,Kr.Rottal-Inn",Bayern,Frei
1357,1947-01-01,2024-12-31,655,49.9807,11.8376,Fichtelberg/Oberfranken-Hütts,Bayern,Frei
1550,1889-01-01,2024-12-31,719,47.483,11.0621,Garmisch-Partenkirchen,Bayern,Frei
2261,1947-01-01,2024-12-31,565,50.3123,11.876,Hof,Bayern,Frei
2290,1781-01-01,2024-12-31,977,47.8009,11.0108,Hohenpeißenberg,Bayern,Frei
2480,1896-01-01,2024-12-31,108,50.0643,8.993,Kahl/Main,Bayern,Frei
2559,1881-01-01,2024-12-31,705,47.7233,10.3348,Kempten,Bayern,Frei
2597,1881-01-01,2024-12-31,282,50.224,10.0792,"Kissingen, Bad",Bayern,Frei
2600,1941-01-01,2024-12-31,193,49.7363,10.1781,Kitzingen,Bayern,Frei
2680,1948-01-01,2024-12-31,289,50.284,10.4456,"Königshofen, Bad",Bayern,Frei
2700,1947-01-01,2024-12-31,416,48.8302,11.4872,Kösching,Bayern,Frei
2750,1949-01-01,2024-12-31,310,50.2524,11.3209,Kronach,Bayern,Frei
3244,1940-01-01,2024-12-31,614,47.9821,10.1384,Memmingen,Bayern,Frei
3271,1881-01-01,2024-12-31,314,48.8548,12.9189,Metten,Bayern,Frei
3307,1890-01-01,2025-01-31,983,47.4814,11.2649,Mittenwald-Buckelwiesen,Bayern,Frei
3621,1900-01-01,2024-12-31,435,48.8253,10.5067,Reimlingen,Bayern,Frei
3668,1879-01-01,2024-12-31,314,49.503,11.0549,Nürnberg,Bayern,Frei
3679,1937-01-01,2024-12-31,518,47.6187,12.1665,Kiefersfelden-Gach,Bayern,Frei
3730,1886-01-01,2024-12-31,806,47.3984,10.2759,Oberstdorf,Bayern,Frei
3739,1948-10-01,2024-12-31,596,49.4521,12.4365,Oberviechtach,Bayern,Frei
4104,1879-01-01,2024-12-31,365,49.0425,12.1019,Regensburg,Bayern,Frei
4261,1881-01-01,2024-12-31,444,47.8819,12.1249,Rosenheim,Bayern,Frei
4287,1947-06-08,2024-12-31,415,49.3849,10.1732,Rothenburg ob der Tauber,Bayern,Frei
4592,1949-01-01,2024-12-31,356,49.3278,12.0871,Schwandorf,Bayern,Frei
4911,1883-01-01,2024-12-31,351,48.8275,12.5597,Straubing,Bayern,Frei
5017,1948-01-01,2024-12-31,633,50.4002,11.3888,Teuschnitz,Bayern,Frei
5111,1915-01-01,2024-12-31,560,48.0311,12.5396,Trostberg,Bayern,Frei
5149,1937-01-01,2025-01-31,318,49.5679,10.1969,Gollhofen,Bayern,Frei
5397,1881-01-01,2024-12-31,440,49.6662,12.1844,Weiden,Bayern,Frei
5404,1885-01-01,2024-12-31,477,48.4024,11.6946,Weihenstephan-Dürnast,Bayern,Frei
5440,1879-01-01,2024-12-31,439,49.0115,10.9308,Weißenburg-Emetzheim,Bayern,Frei
5538,1920-01-01,2024-12-31,551,47.8827,11.1576,Wielenbach (Demollstr.),Bayern,Frei
5705,1881-01-01,2024-12-31,268,49.7704,9.9576,Würzburg,Bayern,Frei
5792,1900-08-01,2024-12-31,956,47.421,10.9848,Zugspitze,Bayern,Frei
5941,1938-01-01,2024-12-31,686,47.6754,12.4698,Reit im Winkl,Bayern,Frei
